username,moviename,movietitle,releaseDate,date,rating,review
kurstboy,peter-hujars-day,Peter Hujar's Day,2025,2025-11-09,3.5,in love with how gracefully this breaks the 4th wall. such a pivotal detail in what could be (has been) easily dismissed as a pretty looking podcast. thinking more about the use of sunlight and how it turns into just a sliver that’s keeping the film alive and visible.. so beautiful. it also has such a great sense of playfulness and humor (like passages) that breaks down all those self-serious expectations you expect from it off the bat. still piecing together why i bought both milk duds AND popcorn for this *checks watch* 76 min long movie?
kurstboy,two-sleepy-people,Two Sleepy People,2025,2025-11-07,,"watched in the middle of yosemite with the cast/crew.a very special experience. much love to baron, one of the most talented people i know"
kurstboy,faces-of-death-1,Faces of Death,,2025-11-05,,can’t believe they aren’t gonna let the people see this
kurstboy,invasion-of-the-body-snatchers-1978,Invasion of the Body Snatchers,1978,2025-10-30,4.0,reading a book in the mud bath?!
kurstboy,blue-moon-2025,Blue Moon,2025,2025-10-28,4.5,my favorite type of linklater ❤️ hurts so good
kurstboy,a-house-of-dynamite,A House of Dynamite,2025,2025-10-24,2.5,i’m pretty certain volker bertelmann was using conclave leftovers on this
kurstboy,the-texas-chain-saw-massacre,The Texas Chain Saw Massacre,1974,2025-10-21,5.0,"the greatesttt. horrifying and just plain gross. what the hell is franklin chewing on in that scene? last half hour is a complete assault on the ears in the best way; marilyn burns destroying her vocal chords, the howling, the cheering, the chainsaw, a perfect symphony of the worst noises. aesthetically perfect and to this day wholly unique. the ultimate horror movie, some might say"
kurstboy,bugonia,Bugonia,2025,2025-10-19,3.5,starting a dialogue is all it takes
kurstboy,jay-kelly,Jay Kelly,2025,2025-10-17,4.0,just over the moon to hear clooney reading baumbach lines again
kurstboy,the-mastermind-2025,The Mastermind,2025,2025-10-16,4.5,she is so good at this
kurstboy,is-this-thing-on-2025,Is This Thing On?,2025,2025-10-12,3.5,"another coop film where he’s Working Through It. huge win for the bojack horseman community, bradley cooper is basically playing mr peanut butter. need more movies about how everyone should find a hobby"
